LocationType,Location,Age group,TimeFrame,DataFormat,Data
Nation,United States,15 to 17,1990,Number,10072432
Nation,United States,0 to 4,1990,Number,18856447
Nation,United States,5 to 11,1990,Number,25266803
Nation,United States,12 to 14,1990,Number,10022830
Nation,United States,Total less than 18,1990,Number,64218512
Nation,United States,15 to 17,1990,Percent,0.16
Nation,United States,12 to 14,1990,Percent,0.16
Nation,United States,5 to 11,1990,Percent,0.39
Nation,United States,0 to 4,1990,Percent,0.29
Nation,United States,0 to 4,1991,Percent,0.29
Nation,United States,5 to 11,1991,Percent,0.39
Nation,United States,12 to 14,1991,Percent,0.16
Nation,United States,15 to 17,1991,Percent,0.15
Nation,United States,Total less than 18,1991,Percent,1
Nation,United States,Total less than 18,1990,Percent,1
Nation,United States,Total less than 18,1991,Number,65313018
Nation,United States,12 to 14,1991,Number,10363807
Nation,United States,5 to 11,1991,Number,25673278
Nation,United States,0 to 4,1991,Number,19208046
Nation,United States,15 to 17,1991,Number,10067887
Nation,United States,15 to 17,1992,Number,10304269
Nation,United States,0 to 4,1992,Number,19528041
Nation,United States,5 to 11,1992,Number,25934250
Nation,United States,12 to 14,1992,Number,10742617
Nation,United States,Total less than 18,1992,Number,66509177
Nation,United States,Total less than 18,1992,Percent,1
Nation,United States,15 to 17,1992,Percent,0.15
Nation,United States,12 to 14,1992,Percent,0.16
Nation,United States,0 to 4,1992,Percent,0.29
Nation,United States,5 to 11,1992,Percent,0.39
Nation,United States,5 to 11,1993,Percent,0.39
Nation,United States,0 to 4,1993,Percent,0.29
Nation,United States,12 to 14,1993,Percent,0.16
Nation,United States,15 to 17,1993,Percent,0.16
Nation,United States,Total less than 18,1993,Percent,1
Nation,United States,Total less than 18,1993,Number,67594938
Nation,United States,12 to 14,1993,Number,11096459
Nation,United States,5 to 11,1993,Number,26270900
Nation,United States,0 to 4,1993,Number,19729275
Nation,United States,15 to 17,1993,Number,10498304
Nation,United States,15 to 17,1994,Number,10838108
Nation,United States,0 to 4,1994,Number,19776862
Nation,United States,5 to 11,1994,Number,26608252
Nation,United States,12 to 14,1994,Number,11417713
Nation,United States,Total less than 18,1994,Number,68640935
Nation,United States,15 to 17,1994,Percent,0.16
Nation,United States,Total less than 18,1994,Percent,1
Nation,United States,12 to 14,1994,Percent,0.17
Nation,United States,0 to 4,1994,Percent,0.29
Nation,United States,5 to 11,1994,Percent,0.39
Nation,United States,5 to 11,1995,Percent,0.39
Nation,United States,0 to 4,1995,Percent,0.28
Nation,United States,12 to 14,1995,Percent,0.17
Nation,United States,Total less than 18,1995,Percent,1
Nation,United States,15 to 17,1995,Percent,0.16
Nation,United States,Total less than 18,1995,Number,69473139
Nation,United States,12 to 14,1995,Number,11551244
Nation,United States,5 to 11,1995,Number,27093976
Nation,United States,0 to 4,1995,Number,19626505
Nation,United States,15 to 17,1995,Number,11201414
Nation,United States,15 to 17,1996,Number,11529601
Nation,United States,0 to 4,1996,Number,19408272
Nation,United States,5 to 11,1996,Number,27681564
Nation,United States,12 to 14,1996,Number,11614075
Nation,United States,Total less than 18,1996,Number,70233512
Nation,United States,15 to 17,1996,Percent,0.16
Nation,United States,12 to 14,1996,Percent,0.17
Nation,United States,0 to 4,1996,Percent,0.28
Nation,United States,5 to 11,1996,Percent,0.39
Nation,United States,5 to 11,1997,Percent,0.4
Nation,United States,0 to 4,1997,Percent,0.27
Nation,United States,12 to 14,1997,Percent,0.17
Nation,United States,15 to 17,1997,Percent,0.17
Nation,United States,Total less than 18,1997,Percent,1
Nation,United States,Total less than 18,1996,Percent,1
Nation,United States,Total less than 18,1997,Number,70920737
Nation,United States,12 to 14,1997,Number,11713622
Nation,United States,5 to 11,1997,Number,28141107
Nation,United States,0 to 4,1997,Number,19232671
Nation,United States,15 to 17,1997,Number,11833337
Nation,United States,15 to 17,1998,Number,11950974
Nation,United States,0 to 4,1998,Number,19144923
Nation,United States,5 to 11,1998,Number,28506845
Nation,United States,12 to 14,1998,Number,11828664
Nation,United States,Total less than 18,1998,Number,71431406
Nation,United States,15 to 17,1998,Percent,0.17
Nation,United States,12 to 14,1998,Percent,0.17
Nation,United States,5 to 11,1998,Percent,0.4
Nation,United States,0 to 4,1998,Percent,0.27
Nation,United States,0 to 4,1999,Percent,0.27
Nation,United States,5 to 11,1999,Percent,0.4
Nation,United States,12 to 14,1999,Percent,0.17
Nation,United States,15 to 17,1999,Percent,0.17
Nation,United States,Total less than 18,1999,Percent,1
Nation,United States,Total less than 18,1998,Percent,1
Nation,United States,Total less than 18,1999,Number,71946049
Nation,United States,12 to 14,1999,Number,12028529
Nation,United States,5 to 11,1999,Number,28791295
Nation,United States,0 to 4,1999,Number,19135544
Nation,United States,15 to 17,1999,Number,11990681
Nation,United States,Total less than 18,2000,Number,72376189
Nation,United States,0 to 4,2000,Number,19178293
Nation,United States,5 to 11,2000,Number,28934345
Nation,United States,12 to 14,2000,Number,12167203
Nation,United States,15 to 17,2000,Number,12096348
Nation,United States,Total less than 18,2000,Percent,1
Nation,United States,0 to 4,2000,Percent,0.26
Nation,United States,5 to 11,2000,Percent,0.4
Nation,United States,12 to 14,2000,Percent,0.17
Nation,United States,15 to 17,2000,Percent,0.17
Nation,United States,Total less than 18,2001,Percent,1
Nation,United States,0 to 4,2001,Percent,0.27
Nation,United States,5 to 11,2001,Percent,0.4
Nation,United States,12 to 14,2001,Percent,0.17
Nation,United States,15 to 17,2001,Percent,0.17
Nation,United States,Total less than 18,2001,Number,72671175
Nation,United States,0 to 4,2001,Number,19298217
Nation,United States,5 to 11,2001,Number,28795524
Nation,United States,12 to 14,2001,Number,12356516
Nation,United States,15 to 17,2001,Number,12220918
Nation,United States,Total less than 18,2002,Number,72936457
Nation,United States,0 to 4,2002,Number,19429192
Nation,United States,5 to 11,2002,Number,28411953
Nation,United States,12 to 14,2002,Number,12721885
Nation,United States,15 to 17,2002,Number,12373427
Nation,United States,Total less than 18,2002,Percent,1
Nation,United States,0 to 4,2002,Percent,0.27
Nation,United States,5 to 11,2002,Percent,0.39
Nation,United States,12 to 14,2002,Percent,0.17
Nation,United States,15 to 17,2002,Percent,0.17
Nation,United States,Total less than 18,2003,Percent,1
Nation,United States,0 to 4,2003,Percent,0.27
Nation,United States,5 to 11,2003,Percent,0.38
Nation,United States,12 to 14,2003,Percent,0.18
Nation,United States,15 to 17,2003,Percent,0.17
Nation,United States,Total less than 18,2003,Number,73100758
Nation,United States,0 to 4,2003,Number,19592446
Nation,United States,5 to 11,2003,Number,28079940
Nation,United States,12 to 14,2003,Number,12956264
Nation,United States,15 to 17,2003,Number,12472108
Nation,United States,Total less than 18,2004,Number,73297735
Nation,United States,0 to 4,2004,Number,19785885
Nation,United States,5 to 11,2004,Number,27813909
Nation,United States,12 to 14,2004,Number,13052008
Nation,United States,15 to 17,2004,Number,12645933
Nation,United States,Total less than 18,2004,Percent,1
Nation,United States,0 to 4,2004,Percent,0.27
Nation,United States,5 to 11,2004,Percent,0.38
Nation,United States,12 to 14,2004,Percent,0.18
Nation,United States,15 to 17,2004,Percent,0.17
Nation,United States,Total less than 18,2005,Percent,1
Nation,United States,0 to 4,2005,Percent,0.27
Nation,United States,5 to 11,2005,Percent,0.38
Nation,United States,12 to 14,2005,Percent,0.18
Nation,United States,15 to 17,2005,Percent,0.18
Nation,United States,Total less than 18,2005,Number,73523669
Nation,United States,0 to 4,2005,Number,19917400
Nation,United States,5 to 11,2005,Number,27688417
Nation,United States,12 to 14,2005,Number,12913229
Nation,United States,15 to 17,2005,Number,13004623
Nation,United States,Total less than 18,2006,Number,73757714
Nation,United States,0 to 4,2006,Number,19938883
Nation,United States,5 to 11,2006,Number,27807763
Nation,United States,12 to 14,2006,Number,12770063
Nation,United States,15 to 17,2006,Number,13241005
Nation,United States,Total less than 18,2006,Percent,1
Nation,United States,0 to 4,2006,Percent,0.27
Nation,United States,5 to 11,2006,Percent,0.38
Nation,United States,12 to 14,2006,Percent,0.17
Nation,United States,15 to 17,2006,Percent,0.18
Nation,United States,Total less than 18,2007,Percent,1
Nation,United States,0 to 4,2007,Percent,0.27
Nation,United States,5 to 11,2007,Percent,0.38
Nation,United States,12 to 14,2007,Percent,0.17
Nation,United States,15 to 17,2007,Percent,0.18
Nation,United States,Total less than 18,2007,Number,74019405
Nation,United States,0 to 4,2007,Number,20125962
Nation,United States,5 to 11,2007,Number,27896821
Nation,United States,12 to 14,2007,Number,12658832
Nation,United States,15 to 17,2007,Number,13337790
Nation,United States,Total less than 18,2008,Number,74104602
Nation,United States,0 to 4,2008,Number,20271127
Nation,United States,5 to 11,2008,Number,28078670
Nation,United States,12 to 14,2008,Number,12557587
Nation,United States,15 to 17,2008,Number,13197218
Nation,United States,Total less than 18,2008,Percent,1
Nation,United States,0 to 4,2008,Percent,0.27
