Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0100000US,,United States,24858794,21936806,1191984,702309,249346,85203,693146
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0100000US,,United States,132105418,100301335,19853611,1147502,7691693,246518,2864759
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0100000US,,United States,156964212,122238141,21045595,1849811,7941039,331721,3557905
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0100000US,,United States,25618800,22681299,1136129,773939,248654,92206,686573
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0100000US,,United States,126162526,97017621,18068911,1115756,6969823,250698,2739717
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0100000US,,United States,151781326,119698920,19205040,1889695,7218477,342904,3426290
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50477594,44618105,2328113,1476248,498000,177409,1379719
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258267944,197318956,37922522,2263258,14661516,497216,5604476
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308745538,241937061,40250635,3739506,15159516,674625,6984195
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0100000US,,United States,24858947,21936938,1191993,702315,249346,85203,693152
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0100000US,,United States,132109026,100304304,19854154,1147524,7691729,246524,2864791
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0100000US,,United States,156967973,122241242,21046147,1849839,7941075,331727,3557943
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0100000US,,United States,25619720,22682117,1136197,773950,248660,92208,686588
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0100000US,,United States,126170412,97021942,18072228,1115818,6969910,250709,2739805
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0100000US,,United States,151790132,119704059,19208425,1889768,7218570,342917,3426393
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50478667,44619055,2328190,1476265,498006,177411,1379740
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258279438,197326246,37926382,2263342,14661639,497233,5604596
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308758105,241945301,40254572,3739607,15159645,674644,6984336
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0100000US,,United States,25003475,22061776,1199593,706087,250794,85663,699562
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0100000US,,United States,132254098,100322191,19896818,1150276,7750776,247747,2886290
est72010,"July 1, 2010",female,Female,tothisp,Total,0100000US,,United States,157257573,122383967,21096411,1856363,8001570,333410,3585852
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0100000US,,United States,25752116,22794505,1143883,777829,250107,92684,693108
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0100000US,,United States,126337368,97065113,18116415,1118321,7023545,251963,2762011
est72010,"July 1, 2010",male,Male,tothisp,Total,0100000US,,United States,152089484,119859618,19260298,1896150,7273652,344647,3455119
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50755591,44856281,2343476,1483916,500901,178347,1392670
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258591466,197387304,38013233,2268597,14774321,499710,5648301
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0100000US,,United States,309347057,242243585,40356709,3752513,15275222,678057,7040971
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0100000US,,United States,25618086,22590939,1234263,721706,257025,87720,726433
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0100000US,,United States,132808911,100332971,20085750,1160722,8001454,252984,2975030
est72011,"July 1, 2011",female,Female,tothisp,Total,0100000US,,United States,158426997,122923910,21320013,1882428,8258479,340704,3701463
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0100000US,,United States,26333137,23290156,1178925,792890,256204,94838,720124
